,tweets
166,['RT @elzamariana: Ciro diz o que faria diferente: Na velocidade faria tudo diferente e na questão estratégica tb. Reunião com governadores e…']
167,['@o_antagonista https://t.co/DuyC6gWbmy']
168,"['RT @PastorMalafaia: MAIS UMA USURPAÇÃO DO STF ! Em qualquer lugar do mundo democrático , é prerrogativa do executivo determinar a expulsão…']"
169,"['@anticscal1 brinca não porque o que tem de gente que acha que sou macumbeiro, satanista e bolsonaro nao é brinquedo não hahahah']"
170,['RT @belleiprofessor: Todos sabemos que o Presidente Bolsonaro é praticamente uma vítima de expiação desta podre república. Todos sabemos qu…']
171,"['@Desmentindo_ CIRO É VICIADO EM DROGAS, LOLA É BANDIDO CONDENADO, MORO TRAÍRA COVARDE ... BOLSONARO É E CONTINUARÁ… https://t.co/1QUb6TSIn5']"
172,"['@Jucimar_Pereira @Biakicis @SF_Moro Bolsonaro vazou pra ela, por isso tá se cagando de medo😂😂😂']"
173,"[""RT @Reuters: Brazil's top court blocks Bolsonaro move to expel Venezuelan diplomats https://t.co/APwOCYA5FC https://t.co/GEkCADIGaA""]"
174,['@D_Integralismo @Jairon73610134 @moura_101 ESSE PAU NO CU É TÃO PUTINHA DE FALSOS IDOLOSQUE PRECISA DA BOLA DO BOLS… https://t.co/O1OuBjldAx']
175,"['RT @taoquei1: "" Nos vamo invadir sua praia...""🎶']"
176,['#STFGolpeDeEstadoNÃO']
177,"['Entregou onde está Santo Graal,o corpo do Jimmy Hoffa,a Área 51,quem matou Mariele,o final de Vale Tudo,spoilers de… https://t.co/uPJb7oUYkb']"
178,['RT @taoquei1: Aparentemente Moro pegou toda a conversa que teve com o presidente durante todo seu tempo como ministro e catalogou. Essa é a…']
179,"['RT @ndiaConcurseir1: Moro — O cara da “biografia” que acabou em pizza. \n\nBolsonaro — O homem DA MINHA BIOGRAFIA É MEU PAÍS, do pastel com c…']"
180,"['@Mau__Mau__Jr_19 @claudioedantas Basta dar uma espreitadela no perfil do gajo, pra ver que além de não ter votado n… https://t.co/BSho2rWpAO']"
181,['RT @XBOX49683310: \U0001f7e2\U0001f7e2\U0001f7e2 Breaking news \U0001f7e2\U0001f7e2\U0001f7e2\nUma das denúncias do moro é que o bolsonaro obrigou o ex ministro a assistir o jogo do Flamengo.…']
182,['RT @folha: A conta chegou para Bolsonaro\n\nAvaliação positiva do governo cai oito pontos em uma semana e presidente bate recorde de desaprov…']
183,['RT @kimpaim: MORO tem uma Biografia\n\nBOLSONARO tem uma história épica mitológica\n\nEscolha seu pokémon']
184,['RT @la_patilla: Bolsonaro llama “judas” a Moro y dice que “nadie dará un golpe” en su contra https://t.co/nHHIBCsTeB…']
185,"['RT @Poder360: “Vamos tomar cuidado e usar máscara”, diz Bolsonaro\n\nhttps://t.co/KcyugRdZ8x']"
186,['RT @malumello16: Como eu avisei. Já estão costurando a anulação dos julgamentos do Moro para sobretudo livrar o Lula e ele poder ser candid…']
187,"['RT @bernardopkuster: STF suspende mais uma ação do Gov, a expulsão de funcionários da Embaixada da Venezuela em Brasília e consulados pelo…']"
188,"['@PauloOnobre2021 @tadeu_alves @Jota_Bosco @LucianoAmaral No meu ponto de vista, se Bolsonaro vencer ele reconquista… https://t.co/B5L7wS8w3X']"
189,"['RT @PastorMalafaia: MAIS UMA USURPAÇÃO DO STF ! Em qualquer lugar do mundo democrático , é prerrogativa do executivo determinar a expulsão…']"
190,"['RT @allan_frutuozo: Moro compilou 15 meses de conversas com o presidente Bolsonaro, com claro intuito de acusar o presidente no futuro. Ess…']"
191,"['@gbarczysczyn_ @bolsolulabot MORO  ARMOU  TUDO,   DESDE   OS  PROCESSOS  DE LULA..É  UM PSICOPATA  PERIGOSO.\nhttps://t.co/oSqUdzjVg1']"
192,"['RT @BrazilFight: ROLANDO NAS REDES\n""Urgente, STF vai investigar porque Jair Bolsonaro indicou Michelle Bolsonaro para ser primeira-dama.""\nD…']"
193,['RT @MBLivre: Quase 9 horas de depoimento de Moro à PF em inquérito sobre Bolsonaro. Acabou de acabar. Ex-ministro ainda cumpre burocracias…']
194,['RT @Alanghani: PSDB:\n\nNão derrubou Lula no mensalão.\nNão foi oposição ao petismo\nApoiou o impeachment de Dilma aos 50 do 2 tempo\nEram morno…']
195,"['RT @_SaraWinter: Não foi Sérgio Moro, não foi João Doria, não foi Wilson Witzel, foi Jair Bolsonaro que foi eleito com 57.796.986 votos par…']"
196,['RT @morenasollua: Delegado da PF que isentou Flávio de lavagem de dinheiro conhece família Bolsonaro há sete anos https://t.co/1TSh1sgWfi']
197,"['@KarinaKufa @jairbolsonaro Kkkkkkk. O que Bolsonaro considera como normal, a constituição considera como anormal. Não percebeu isso ainda?']"
198,"['RT @oiIuiz: STF mandou Bolsonaro e Ernesto suspenderem a expulsão de diplomatas venezuelanos a pedido do deputado Paulo Pimenta, do PT.\n\n""E…']"
199,['@Biakicis @GloboNews @MajorVitorHugo @Haddad_Fernando @SF_Moro @LulaOficial #ForaMaia\n#NaoVoteNoDem\n#PtLadrao… https://t.co/Mkir9I9ZuT']
